stock,date,tweet
tgt,11/10/2019 13:28,"We'll Know Soon If I Play Pebble Beach During Thanksgiving.

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm… https://t.co/SR1WJzEPcd"
tgt,11/10/2019 13:34,"RT @brianfires: We'll Know Soon If I Play Pebble Beach During Thanksgiving.

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg…"
tgt,11/10/2019 13:34,"RT @brianfires: We'll Know Soon If I Play Pebble Beach During Thanksgiving.

$aapl $amzn $agn $brk $bhc $tst $iep $crm $pep $ibm $mcd $cmg…"
wmt,11/10/2019 14:36,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
wmt,11/10/2019 14:42,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
wmt,11/10/2019 14:50,"RT @BrandonVanZee: The #SectorSelector for 11/08/19 is posted.

🥇 Industrials $XLI
🥈 Financials $XLF
🥉 Materials $XLB

Premium @Market_Scho…"
wmt,11/10/2019 15:21,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
wmt,11/10/2019 15:21,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
wmt,11/10/2019 15:21,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
wmt,11/10/2019 15:34,"RT @Investingcom: 3 stocks to watch this week... https://t.co/pEiXkETunZ

✅ Tilray $TLRY
✅ Walmart $WMT
✅ Nvidia $NVDA

#Tilray #Walmart #N…"
wmt,11/10/2019 15:44,"Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell… https://t.co/dwszuHYPY7"
wmt,11/10/2019 15:47,New video coming out today! $WMT #Walmart #ONN https://t.co/AdNNv5IiMH
wmt,11/10/2019 15:52,RT @mchaudhry82: Stocks To 👀: $NVDA $AMAT $WMT $JD $CSCO $CGC $TLRY $OSTK $SWKS $GOOS $DIS $NFLX $BABA $MSFT $AMD $SBUX $WW $BAC $C $JPM $O…
wmt,11/10/2019 15:52,"Third-quarter earnings season continues in the week ahead, with dozens of companies set to post operating results o… https://t.co/7r4fkB4qmM"
wmt,11/10/2019 15:54,"Notable #Earnings To Watch This Week (via @eWhispers)

Mon: $NPT 
Tues: $TLRY $CRON $CBS $OSTK $DHI $TSN $AAP $HUYA… https://t.co/gMPnjJkzPe"
wmt,11/10/2019 15:56,RT @UnderGTech: New video coming out today! $WMT #Walmart #ONN https://t.co/AdNNv5IiMH
wmt,11/10/2019 15:56,"RT @JesseCohenInv: Notable #Earnings To Watch This Week (via @eWhispers)

Mon: $NPT 
Tues: $TLRY $CRON $CBS $OSTK $DHI $TSN $AAP $HUYA $YY…"
wmt,11/10/2019 15:57,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
wmt,11/10/2019 15:59,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
wmt,11/10/2019 15:59,"RT @JesseCohenInv: Notable #Earnings To Watch This Week (via @eWhispers)

Mon: $NPT 
Tues: $TLRY $CRON $CBS $OSTK $DHI $TSN $AAP $HUYA $YY…"
wmt,11/10/2019 16:08,RT @UnderGTech: New video coming out today! $WMT #Walmart #ONN https://t.co/AdNNv5IiMH
wmt,11/10/2019 16:09,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
wmt,11/10/2019 16:12,"RT @JesseCohenInv: Notable #Earnings To Watch This Week (via @eWhispers)

Mon: $NPT 
Tues: $TLRY $CRON $CBS $OSTK $DHI $TSN $AAP $HUYA $YY…"
wmt,11/10/2019 16:16,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
wmt,11/10/2019 16:18,RT @UnderGTech: New video coming out today! $WMT #Walmart #ONN https://t.co/AdNNv5IiMH
wmt,11/10/2019 16:18,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
wmt,11/10/2019 16:29,"quick update--still bullish,still laying off active trading, maybe stepping back into the NAS100 Wednesday for J.P.… https://t.co/WpAnI1Efjf"
wmt,11/10/2019 16:30,"ACTIVE TRADERS Try one of these FREE trading guides:

https://t.co/pLTyNLcwUs

$NFLX $TSLA $AAPL $WMT $GS $FB $AMZN $GOOGL $NVDA"
wmt,11/10/2019 16:35,"11/11-15, Fed Pres Talks (2/2)

Th- $WMT, $NVDA $AMAT $BAM $BURBY!?
    8:30 PPI; Jobless claims
    10 am Powell @… https://t.co/S2lwWAVqqs"
wmt,11/10/2019 16:37,"RT @art2i: 11/11-15, Fed Pres Talks (2/2)

Th- $WMT, $NVDA $AMAT $BAM $BURBY!?
    8:30 PPI; Jobless claims
    10 am Powell @ Hs Budget

F…"
wmt,11/10/2019 16:37,"RT @IndexModel: quick update--still bullish,still laying off active trading, maybe stepping back into the NAS100 Wednesday for J.P. Fedstac…"
tgt,11/10/2019 16:40,"(Typical rally)this week for $TTD, $TGT and $CPT https://t.co/fJQLVQAw6l"
tgt,11/10/2019 16:40,Target $TGT Now Covered by Nomura https://t.co/k9HSLaabjl
tgt,11/10/2019 16:40,Target $TGT Now Covered by Nomura https://t.co/k9HSLaabjl
tgt,11/10/2019 16:40,"(Typical rally)this week for $TTD, $TGT and $CPT https://t.co/fJQLVQAw6l"
wmt,11/10/2019 16:43,Walmart $WMT Now Covered by Nomura https://t.co/2EJ6XVFIF6
wmt,11/10/2019 16:53,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
wmt,11/10/2019 16:56,"RT @JesseCohenInv: Notable #Earnings To Watch This Week (via @eWhispers)

Mon: $NPT 
Tues: $TLRY $CRON $CBS $OSTK $DHI $TSN $AAP $HUYA $YY…"
wmt,11/10/2019 17:09,"RT @BrandonVanZee: The #SectorSelector for 11/08/19 is posted.

🥇 Industrials $XLI
🥈 Financials $XLF
🥉 Materials $XLB

Premium @Market_Scho…"
wmt,11/10/2019 17:10,"RT @JesseCohenInv: Notable #Earnings To Watch This Week (via @eWhispers)

Mon: $NPT 
Tues: $TLRY $CRON $CBS $OSTK $DHI $TSN $AAP $HUYA $YY…"
wmt,11/10/2019 17:18,Short sale vol (not short interest) for $WMT on 2019-11-08 is 48%. https://t.co/CF929p5pJ4 $COST 31% $EBAY 36% $DLTR 33%
wmt,11/10/2019 17:29,"This #earnings season may be winding down, but there are still some important releases due out this coming week. He… https://t.co/8fHkPpwytq"
wmt,11/10/2019 17:37,"#Nvidia, #Walmart, and #Cisco: main earnings this week with no-buyback #blackout.
More details:… https://t.co/mqvvOhA4lf"
wmt,11/10/2019 17:38,"RT @BrandonVanZee: The #SectorSelector for 11/08/19 is posted.

🥇 Industrials $XLI
🥈 Financials $XLF
🥉 Materials $XLB

Premium @Market_Scho…"
wmt,11/10/2019 17:46,#GG #MegaCap #SELL WK45 $WMT   #growthstocks #stocks #finance #investment https://t.co/7zD513RFz2 https://t.co/XxVR3eo7rx
wmt,11/10/2019 17:55,"RT @BrandonVanZee: The #SectorSelector for 11/08/19 is posted.

🥇 Industrials $XLI
🥈 Financials $XLF
🥉 Materials $XLB

Premium @Market_Scho…"
m,11/10/2019 17:57,"Ngl they r using Kāí as their toy now
Like d crop tops they're using are getting more?? Idek what to say?? 
&amp; the t… https://t.co/fe8mCreZnH"
m,11/10/2019 17:57,"Ngl they r using Kāí as their toy now
Like d crop tops they're using are getting more?? Idek what to say?? 
&amp; the t… https://t.co/fe8mCreZnH"
wmt,11/10/2019 18:00,"$WMT $LULU $COST $RH $BURL   Walmart, Lululemon Lead Five Stocks Near Buy Points After Bullish Rebounds  https://t.co/UxPXxyEhCs"
wmt,11/10/2019 18:00,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
wmt,11/10/2019 18:12,Best way to play BABA singles day and   $WMT earnings is through $XRT index. @OptionsPastor @wallstreetstock
wmt,11/10/2019 18:13,"RT @BrandonVanZee: The #SectorSelector for 11/08/19 is posted.

🥇 Industrials $XLI
🥈 Financials $XLF
🥉 Materials $XLB

Premium @Market_Scho…"
low,11/10/2019 18:14,U know I keep that gas but I am sippin on some oil $low https://t.co/QY6AdwDQzQ
low,11/10/2019 18:14,U know I keep that gas but I am sippin on some oil $low https://t.co/QY6AdwDQzQ
low,11/10/2019 18:14,U know I keep that gas but I am sippin on some oil $low https://t.co/QY6AdwDQzQ
wmt,11/10/2019 18:25,"With past performance like this, how can you not sign up for a Free 7-day trial to https://t.co/1C37H1cTsb? Winning… https://t.co/VJVm9eDRom"
wmt,11/10/2019 18:29,"$COST on my radar this week, started to break out of a tight  BB set up and came back in Friday, See if it holds th… https://t.co/zLaXmGKuug"
wmt,11/10/2019 18:37,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
wmt,11/10/2019 18:38,"RT @MadMraket: $WMT $LULU $COST $RH $BURL   Walmart, Lululemon Lead Five Stocks Near Buy Points After Bullish Rebounds  https://t.co/UxPXxy…"
wmt,11/10/2019 18:48,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
wmt,11/10/2019 18:53,"RT @BrandonVanZee: The #SectorSelector for 11/08/19 is posted.

🥇 Industrials $XLI
🥈 Financials $XLF
🥉 Materials $XLB

Premium @Market_Scho…"
wmt,11/10/2019 19:03,Sam Walton: Made In America by Sam Walton: https://t.co/dMawXxbJe5 $WMT $COST $SHLD #walmart
wmt,11/10/2019 19:08,"RT @BrandonVanZee: The #SectorSelector for 11/08/19 is posted.

🥇 Industrials $XLI
🥈 Financials $XLF
🥉 Materials $XLB

Premium @Market_Scho…"
wmt,11/10/2019 19:11,@eWhispers @nvidia @Walmart @cronosgroup @CanopyGrowth @Cisco @Aurora_MMJ @Overstock @Neptune_corp @tilray… https://t.co/h5eo7MLKNl
hd,11/10/2019 19:16,"$IM $ONE
$BORN $OUT $A $KEG
$ADS $ARE $HD"
hd,11/10/2019 19:16,"$IM $ONE
$BORN $OUT $A $KEG
$ADS $ARE $HD"
wmt,11/10/2019 19:21,"""3 Stocks To Watch In The Coming Week: Tilray, Walmart, NVIDIA""
$TLRY $WMT $NVDA

https://t.co/crsOcKQBqN"
tgt,11/10/2019 19:26,$TGT Rejected at a resistance level from early September. https://t.co/pOFK5nrqUF
tgt,11/10/2019 19:26,$TGT Rejected at a resistance level from early September. https://t.co/pOFK5nrqUF
wmt,11/10/2019 19:32,RT @AjTrader7: @eWhispers @nvidia @Walmart @cronosgroup @CanopyGrowth @Cisco @Aurora_MMJ @Overstock @Neptune_corp @tilray @JD_Corporate Aft…
tgt,11/10/2019 19:33,"$TGT -  If this pattern breaks, should see a gap fill to $88ish https://t.co/6D2QBpl0u4"
tgt,11/10/2019 19:33,"$TGT -  If this pattern breaks, should see a gap fill to $88ish https://t.co/6D2QBpl0u4"
wmt,11/10/2019 19:36,"RT @BrandonVanZee: The #SectorSelector for 11/08/19 is posted.

🥇 Industrials $XLI
🥈 Financials $XLF
🥉 Materials $XLB

Premium @Market_Scho…"
wmt,11/10/2019 19:38,"RT @OptionsMike: $COST on my radar this week, started to break out of a tight  BB set up and came back in Friday, See if it holds the 8D to…"
wmt,11/10/2019 19:41,Free prep live stream tonight - if you want to set yourself up for success follow our live session with hedge fund… https://t.co/LPP8dIDhN7
amzn,11/10/2019 19:45,The new $AMZN Christmas spot in TV is the fakest thing I ever seen jfc
wmt,11/10/2019 19:49,$WMT to Present a Corporate Overview at Upcoming Investment Conference   #Walmart     https://t.co/rxnlfda547
amzn,11/10/2019 19:50,RT @QUANTUM314_: Free prep live stream tonight - if you want to set yourself up for success follow our live session with hedge fund trained…
wmt,11/10/2019 19:50,RT @QUANTUM314_: Free prep live stream tonight - if you want to set yourself up for success follow our live session with hedge fund trained…
amzn,11/10/2019 19:51,"$AMZN $MSFT $V $MA $FB   ... 
 
With a market at record highs, these are the most loved stocks on Wall Street right… https://t.co/0xWVpgSO4E"
amzn,11/10/2019 19:53,$AMZN when in doubt buy ... https://t.co/WSy6jnqlqn
amzn,11/10/2019 19:54,$AMZN Buying The Elliott Wave Dips At Blue Box Area https://t.co/dN7omleFnt  #Elliottwave #Amazon #Stocks #Trading
wmt,11/10/2019 19:57,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
wmt,11/10/2019 20:00,"RT @JesseCohenInv: Happy Sunday Folks!

Here Are My #Top5ThingsToWatchThisWeek In Financial Markets

- Trump Speech
- Fed Chair Powell Test…"
wmt,11/10/2019 20:00,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
amzn,11/10/2019 20:01,@SnipKlot @BernieSanders @realDonaldTrump @JeffBezos @MikeBloomberg @HowardSchultz @amazon @SenWarren You might nee… https://t.co/VcdlKOuvPC
amzn,11/10/2019 20:03,100 Baggers: Stocks That Return 100-to-1 and How To Find Them: https://t.co/jofZqNvkiw $AAPL $MCD $WMT $TSLA $MSFT $KO $HD $AMZN $IBM $GE
wmt,11/10/2019 20:03,100 Baggers: Stocks That Return 100-to-1 and How To Find Them: https://t.co/jofZqNvkiw $AAPL $MCD $WMT $TSLA $MSFT $KO $HD $AMZN $IBM $GE
hd,11/10/2019 20:03,100 Baggers: Stocks That Return 100-to-1 and How To Find Them: https://t.co/jofZqNvkiw $AAPL $MCD $WMT $TSLA $MSFT $KO $HD $AMZN $IBM $GE
hd,11/10/2019 20:03,100 Baggers: Stocks That Return 100-to-1 and How To Find Them: https://t.co/jofZqNvkiw $AAPL $MCD $WMT $TSLA $MSFT $KO $HD $AMZN $IBM $GE
amzn,11/10/2019 20:05,@Lau1Keith @StockCats Uncle Warren’s dumbest mistake ever:  Not buying $AMZN decades ago!  🤣
amzn,11/10/2019 20:12,The Week Ahead (Nov 11-15): Q3 Earnings from Nvidia &amp; Cisco; DC Hearing on Antitrust 'Online Platforms &amp; Market Pow… https://t.co/RRoTmIR6DQ
amzn,11/10/2019 20:15,RT @DrivingTheDay: The Week Ahead (Nov 11-15): Q3 Earnings from Nvidia &amp; Cisco; DC Hearing on Antitrust 'Online Platforms &amp; Market Power' h…
amzn,11/10/2019 20:26,There's almost nothing more American than punishing the most successful and innovative companies for being successf… https://t.co/KLqP0YXLuG
amzn,11/10/2019 20:30,"ACTIVE TRADERS Try one of these FREE trading guides:

https://t.co/UZe9rL8PKO

$NFLX $TSLA $AAPL $PCLN $GS $FB $AMZN $GOOGL $NVDA"
amzn,11/10/2019 20:33,Investing For Beginners by Ryan Smith: https://t.co/iqtRSLcSsk $AAPL $SPY $TSLA $AMZN $NFLX $VIX $ADM $PEP $KO $BRK
wmt,11/10/2019 20:34,WAL-MART $WMT WILL POSSIBLY TAKE A LOSS THIS QUARTER WITH ALL OF THE ALABAMA CRIMSON TIDE BANDWAGON-ERS WHO HAVE NE… https://t.co/WRIXbNdi5J
amzn,11/10/2019 20:38,"$BXP
I see tight price action and lots of inside days!
Anal-yst price target 156$
#stocktrading #stockstowatch 
$FB… https://t.co/6FU8NIE2tY"
wmt,11/10/2019 20:41,🔔 Tonight 8pm est my predictions on upcoming most anticipated earnings this week VIACOM $WMT $NVDA $WIX and $CSCO w… https://t.co/uHQrgVBrPh
amzn,11/10/2019 20:42,RT @DrivingTheDay: The Week Ahead (Nov 11-15): Q3 Earnings from Nvidia &amp; Cisco; DC Hearing on Antitrust 'Online Platforms &amp; Market Power' h…
amzn,11/10/2019 20:44,"RT @MrDavidUnicorn: For those unaware of my investment philosophy, it's simple. I find the best performing companies with great long term g…"
amzn,11/10/2019 20:44,How to find the best bull call spread opportunities in $AMZN $AAPL $MSFT $TSLA  https://t.co/4xSxEJC62m via @YouTube
amzn,11/10/2019 20:46,"#Levermann #Global #MegaCap #Sell WK45 $AAPL (2), $GOOGL (2), $AMZN (0), $JPM (1), $JNJ (1), $WMT (-1), $XOM (-4),… https://t.co/nNvxfspXmh"
wmt,11/10/2019 20:46,"#Levermann #Global #MegaCap #Sell WK45 $AAPL (2), $GOOGL (2), $AMZN (0), $JPM (1), $JNJ (1), $WMT (-1), $XOM (-4),… https://t.co/nNvxfspXmh"
amzn,11/10/2019 20:49,"yep, i'd keep taking profits if i'm swinging the normal $QQQ stocks out there $GOOGL, $AMZN, $MSFT etc.  This $NASI… https://t.co/RvohJQefHv"
amzn,11/10/2019 20:51,Interesting that $amzn is number#1 on this list and $200+ points off ATH’s.  $amzn is 10th and just made historic h… https://t.co/prwf8jRt5X
hd,11/10/2019 20:51,"#Levermann #Global #BigCap #Sell WK45 $T (-2), $HD (2), $DIS (-4), $UNH (0), $MRK (2), $CSCO (0), $CMCSA (0), $PEP… https://t.co/ssn0le0buI"
hd,11/10/2019 20:51,"#Levermann #Global #BigCap #Sell WK45 $T (-2), $HD (2), $DIS (-4), $UNH (0), $MRK (2), $CSCO (0), $CMCSA (0), $PEP… https://t.co/ssn0le0buI"
amzn,11/10/2019 20:54,"RT @AG1L1S: $AMZN no rest for the wicked.
Has rested for another push higher."
amzn,11/10/2019 20:55,RT @DrivingTheDay: The Week Ahead (Nov 11-15): Q3 Earnings from Nvidia &amp; Cisco; DC Hearing on Antitrust 'Online Platforms &amp; Market Power' h…
amzn,11/10/2019 20:56,RT @QUANTUM314_: Free prep live stream tonight - if you want to set yourself up for success follow our live session with hedge fund trained…
amzn,11/10/2019 20:56,RT @DrivingTheDay: The Week Ahead (Nov 11-15): Q3 Earnings from Nvidia &amp; Cisco; DC Hearing on Antitrust 'Online Platforms &amp; Market Power' h…
wmt,11/10/2019 20:56,RT @QUANTUM314_: Free prep live stream tonight - if you want to set yourself up for success follow our live session with hedge fund trained…
amzn,11/10/2019 20:58,"@RedDogT3 $MSFT 
Good observation. Chart looks good. $AMZN ceiling around $1T valuations amid shrinking margins due… https://t.co/AG13T3VpSk"
amzn,11/10/2019 21:02,@RedDogT3 Amazon can make up 200 points faster than I can say Red Dog Reversal five times fast. Lol $amzn
tgt,11/10/2019 21:02,"Walmart $WMT is trading at new historic highs, currently +1.9% at $119.44. S/t over-stretched. I would note the key… https://t.co/fKdpHAKt9P"
tgt,11/10/2019 21:02,"Walmart $WMT is trading at new historic highs, currently +1.9% at $119.44. S/t over-stretched. I would note the key… https://t.co/fKdpHAKt9P"
wmt,11/10/2019 21:02,"Walmart $WMT is trading at new historic highs, currently +1.9% at $119.44. S/t over-stretched. I would note the key… https://t.co/fKdpHAKt9P"
amzn,11/10/2019 21:03,RT @DrivingTheDay: The Week Ahead (Nov 11-15): Q3 Earnings from Nvidia &amp; Cisco; DC Hearing on Antitrust 'Online Platforms &amp; Market Power' h…
amzn,11/10/2019 21:04,"RT @EventHorizon821: $ES $SPY $FB $AAPL $AMZN $NFLX 

NEW LAYOUT - This is how it will be done from now on.  This way i can get it all out…"
amzn,11/10/2019 21:04,RT @RedDogT3: Interesting that $amzn is number#1 on this list and $200+ points off ATH’s.  $amzn is 10th and just made historic highs.  ($a…
amzn,11/10/2019 21:07,"$MSFT - Trade Idea - Nov 15 147C - bid/ask: .58/.66

Closed above 145.67 resistance on Friday.

$MSFT can see 150,… https://t.co/J6WqzzrntY"
amzn,11/10/2019 21:07,RT @RedDogT3: Interesting that $amzn is number#1 on this list and $200+ points off ATH’s.  $amzn is 10th and just made historic highs.  ($a…
amzn,11/10/2019 21:07,"$BABA - Trade Idea - Nov 15 190C - bid/ask: 1.69/1.75

Closed at 187.16 on Friday.

Wait for BABA to close over 188… https://t.co/ZFPUgFverc"
amzn,11/10/2019 21:10,https://t.co/xtKyyje3gs The best trade alerts EVER!! $AMZN $TSLA $WMT
wmt,11/10/2019 21:10,https://t.co/xtKyyje3gs The best trade alerts EVER!! $AMZN $TSLA $WMT
amzn,11/10/2019 21:12,RT @DrivingTheDay: The Week Ahead (Nov 11-15): Q3 Earnings from Nvidia &amp; Cisco; DC Hearing on Antitrust 'Online Platforms &amp; Market Power' h…
wmt,11/10/2019 21:13,"RT @OMillionaires: Some implied moves for #earnings next week:

$WIX 7.9%
$NVDA 7.4%
$OSTK 16.3%
$TLRY 15.3%
$HUYA 10.6%
$YY 8.2%
$AAP 7.1%…"
amzn,11/10/2019 21:15,"$BIIB - Trade Idea - Nov 15 300C - bid/ask: 2.30/2.45

Held 285 level on Friday and closed at 293.

Can wait for 30… https://t.co/c7NfOmOHKZ"
amzn,11/10/2019 21:17,Subscribe to this incredible high return trading model: https://t.co/ZZmx60Yu6o $VIX $SPY $AAPL $TSLA $FB $AMZN $GOOGL $NFLX
amzn,11/10/2019 21:17,"RT @EliteOptions2: $MSFT - Trade Idea - Nov 15 147C - bid/ask: .58/.66

Closed above 145.67 resistance on Friday.

$MSFT can see 150, 155 n…"
amzn,11/10/2019 21:17,RT @RedDogT3: Interesting that $amzn is number#1 on this list and $200+ points off ATH’s.  $amzn is 10th and just made historic highs.  ($a…
tgt,11/10/2019 21:20,In the first minute of #globalshoppingfestival #alibaba sold $1B product. That translates to annual revs at $BBBY b… https://t.co/O4jIwwdkGE
tgt,11/10/2019 21:20,In the first minute of #globalshoppingfestival #alibaba sold $1B product. That translates to annual revs at $BBBY b… https://t.co/O4jIwwdkGE
bby,11/10/2019 21:20,In the first minute of #globalshoppingfestival #alibaba sold $1B product. That translates to annual revs at $BBBY b… https://t.co/O4jIwwdkGE
bby,11/10/2019 21:20,In the first minute of #globalshoppingfestival #alibaba sold $1B product. That translates to annual revs at $BBBY b… https://t.co/O4jIwwdkGE
bby,11/10/2019 21:20,In the first minute of #globalshoppingfestival #alibaba sold $1B product. That translates to annual revs at $BBBY b… https://t.co/O4jIwwdkGE
bby,11/10/2019 21:20,In the first minute of #globalshoppingfestival #alibaba sold $1B product. That translates to annual revs at $BBBY b… https://t.co/O4jIwwdkGE
bby,11/10/2019 21:20,In the first minute of #globalshoppingfestival #alibaba sold $1B product. That translates to annual revs at $BBBY b… https://t.co/O4jIwwdkGE
amzn,11/10/2019 21:23,"This weeks #swingtrading Watchlist 

$SHAK -&gt; $75
$NTES -&gt; $320
$ATHM -&gt; $80
$AYX -&gt; $100 

$SPY $NQ $ES $AMZN… https://t.co/eX7CuH0cGM"
bby,11/10/2019 21:26,Best Buy $BBY Downgraded by Zacks Investment Research https://t.co/PPNBKtkeYD
bby,11/10/2019 21:26,Best Buy $BBY Downgraded by Zacks Investment Research https://t.co/PPNBKtkeYD
bby,11/10/2019 21:26,Best Buy $BBY Downgraded by Zacks Investment Research https://t.co/PPNBKtkeYD
bby,11/10/2019 21:26,Best Buy $BBY Downgraded by Zacks Investment Research https://t.co/PPNBKtkeYD
bby,11/10/2019 21:26,Best Buy $BBY Downgraded by Zacks Investment Research https://t.co/PPNBKtkeYD
